player,pos,team,games,fg,fg_att,fg_0019,fg_att_0019,fg_2029,fg_att_2029,fg_3039,fg_att_3039,fg_4049,fg_att_4049,fg_50,fg_att_50,xp,xp_att,site_pts,site_fppg,src_id,data_src,id,fg_50_att,fg_49,fg_49_att,fg_39,fg_att_39,opp,fg_miss,bye,draft_rank,fg_pct,xp_pct,pct_owned,site_ci_low,site_ci_high,opp_rank,ranks_pos,FanDuel FP,draftkings_site_points,yahoo_site_points
Younghoe Koo,K,ATL,NA,1.69,2.29,0,NA,0.48,NA,0.63,NA,0.43,NA,0.14,NA,2.46,NA,8.21,NA,younghoe-koo,NumberFire,13403,NA,NA,NA,NA,NA,NYG,NA,NA,NA,NA,NA,NA,3.49,12.93,#23,20,8.21,8.21,8.21
Eddy Pineiro,K,CAR,NA,1.74,1.91,0,NA,0.48,NA,0.56,NA,0.52,NA,0.16,NA,2.17,NA,8.16,NA,eddy-pineiro,NumberFire,13719,NA,NA,NA,NA,NA,ARI,NA,NA,NA,NA,NA,NA,3.93,12.39,#25,21,8.17,8.17,8.17
Cairo Santos,K,CHI,NA,1.88,2.21,0.02,NA,0.47,NA,0.68,NA,0.52,NA,0.15,NA,1.72,NA,8.09,NA,cairo-santos,NumberFire,11945,NA,NA,NA,NA,NA,DET,NA,NA,NA,NA,NA,NA,3.87,12.31,#7,22,8.06,8.06,8.06
Ka'imi Fairbairn,K,HOU,NA,1.74,2.02,0,NA,0.49,NA,0.62,NA,0.49,NA,0.17,NA,1.8,NA,7.92,NA,ka-imi-fairbairn,NumberFire,12860,NA,NA,NA,NA,NA,KC,NA,NA,NA,NA,NA,NA,2.51,13.33,#8,23,7.94,7.94,7.94
Joshua Karty,K,LA,NA,1.52,1.89,0,NA,0.51,NA,0.47,NA,0.47,NA,0.08,NA,2.64,NA,7.88,NA,joshua-karty,NumberFire,16775,NA,NA,NA,NA,NA,NYJ,NA,NA,NA,NA,NA,NA,4.04,11.72,#28,24,7.86,7.86,7.86
Justin Tucker,K,BAL,NA,1.5,1.94,0.02,NA,0.57,NA,0.49,NA,0.3,NA,0.12,NA,2.84,NA,7.86,NA,justin-tucker,NumberFire,10976,NA,NA,NA,NA,NA,PIT,NA,NA,NA,NA,NA,NA,3.82,11.9,#5,25,7.88,7.88,7.88
Harrison Butker,K,KC,NA,1.68,1.94,0,NA,0.55,NA,0.5,NA,0.53,NA,0.1,NA,1.98,NA,7.77,NA,harrison-butker,NumberFire,13354,NA,NA,NA,NA,NA,HOU,NA,NA,NA,NA,NA,NA,3.67,11.87,#3,26,7.75,7.75,7.75
Jake Elliott,K,PHI,NA,1.54,1.86,0.06,NA,0.61,NA,0.31,NA,0.49,NA,0.09,NA,2.25,NA,7.6,NA,jake-elliott,NumberFire,13303,NA,NA,NA,NA,NA,WSH,NA,NA,NA,NA,NA,NA,4.28,10.92,#24,27,7.6,7.6,7.6
Jake Moody,K,SF,NA,1.5,1.86,0.02,NA,0.46,NA,0.38,NA,0.46,NA,0.2,NA,2.18,NA,7.58,NA,jake-moody,NumberFire,16286,NA,NA,NA,NA,NA,MIA,NA,NA,NA,NA,NA,NA,3.54,11.62,#11,28,7.6,7.6,7.6
Zane Gonzalez,K,WSH,NA,1.37,1.8,0.02,NA,0.5,NA,0.44,NA,0.32,NA,0.09,NA,2.42,NA,7.04,NA,zane-gonzalez,NumberFire,13347,NA,NA,NA,NA,NA,PHI,NA,NA,NA,NA,NA,NA,3.44,10.64,#4,29,7.03,7.03,7.03
Greg Joseph,K,WSH,NA,1.28,1.96,0.02,NA,0.41,NA,0.41,NA,0.32,NA,0.1,NA,2.51,NA,6.83,NA,greg-joseph,NumberFire,13898,NA,NA,NA,NA,NA,PHI,NA,NA,NA,NA,NA,NA,2.9,10.76,#4,30,6.81,6.81,6.81
Blake Grupe,K,NO,NA,1.44,1.79,0,NA,0.59,NA,0.34,NA,0.36,NA,0.15,NA,1.7,NA,6.68,NA,blake-grupe,NumberFire,16444,NA,NA,NA,NA,NA,GB,NA,NA,NA,NA,NA,NA,2.99,10.37,#6,31,6.68,6.68,6.68
Dustin Hopkins,K,CLE,NA,1.38,1.72,0,NA,0.3,NA,0.58,NA,0.38,NA,0.14,NA,1.68,NA,6.54,NA,dustin-hopkins,NumberFire,11387,NA,NA,NA,NA,NA,CIN,NA,NA,NA,NA,NA,NA,3.11,9.97,#30,32,6.54,6.54,6.54
Joey Slye,K,NE,NA,1.42,1.87,0,NA,0.48,NA,0.47,NA,0.38,NA,0.07,NA,1.72,NA,6.47,NA,joey-slye,NumberFire,14600,NA,NA,NA,NA,NA,BUF,NA,NA,NA,NA,NA,NA,2.51,10.43,#14,33,6.44,6.44,6.44
Graham Gano,K,NYG,NA,1.19,1.44,0,NA,0.39,NA,0.36,NA,0.25,NA,0.17,NA,1.39,NA,5.48,NA,graham-gano,NumberFire,9694,NA,NA,NA,NA,NA,ATL,NA,NA,NA,NA,NA,NA,3,7.96,#19,34,5.49,5.49,5.49
Zane Gonzalez,K,WAS,NA,NA,NA,NA,NA,0.56,NA,0.56,NA,0.56,NA,0.28,NA,2.23,NA,8.67,NA,2558178,NFL,13347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anders Carlson,K,NYJ,NA,NA,NA,NA,NA,0.5,NA,0.5,NA,0.5,NA,0.25,NA,2.52,NA,8.27,NA,2569750,NFL,16339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon Aubrey,K,DAL,NA,NA,NA,NA,NA,0.5,NA,0.5,NA,0.39,NA,0.28,NA,2.64,NA,8.21,NA,2571750,NFL,16414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Justin Tucker,K,BAL,NA,NA,NA,NA,NA,0.44,NA,0.48,NA,0.48,NA,0.27,NA,2.58,NA,8.13,NA,2536340,NFL,10976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Riley Patterson,K,CLE,NA,NA,NA,NA,NA,0.34,NA,0.68,NA,0.34,NA,0.34,NA,2.34,NA,8.12,NA,2567013,NFL,15369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Bass,K,BUF,NA,NA,NA,NA,NA,0.42,NA,0.54,NA,0.42,NA,0.24,NA,2.68,NA,8.02,NA,2563596,NFL,14983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cade York,K,CIN,NA,NA,NA,NA,NA,0.46,NA,0.53,NA,0.53,NA,0.26,NA,2.11,NA,7.97,NA,2567487,NFL,15882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Butker,K,KC,NA,NA,NA,NA,NA,0.42,NA,0.53,NA,0.37,NA,0.26,NA,2.7,NA,7.96,NA,2558245,NFL,13354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brandon McManus,K,GB,NA,NA,NA,NA,NA,0.27,NA,0.55,NA,0.55,NA,0.27,NA,2.46,NA,7.92,NA,2541556,NFL,11947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matt Gay,K,IND,NA,NA,NA,NA,NA,0.43,NA,0.55,NA,0.43,NA,0.3,NA,2.13,NA,7.86,NA,2562271,NFL,14244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Moody,K,SF,NA,NA,NA,NA,NA,0.4,NA,0.52,NA,0.4,NA,0.23,NA,2.75,NA,7.86,NA,2570308,NFL,16286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Bates,K,DET,NA,NA,NA,NA,NA,0.37,NA,0.49,NA,0.49,NA,0.18,NA,2.89,NA,7.84,NA,2571759,NFL,16846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameron Dicker,K,LAC,NA,NA,NA,NA,NA,0.41,NA,0.52,NA,0.52,NA,0.23,NA,2.33,NA,7.83,NA,2568435,NFL,15979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake Elliott,K,PHI,NA,NA,NA,NA,NA,0.42,NA,0.48,NA,0.48,NA,0.24,NA,2.46,NA,7.8,NA,2558172,NFL,13303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chad Ryland,K,ARI,NA,NA,NA,NA,NA,0.5,NA,0.5,NA,0.5,NA,0.25,NA,2,NA,7.75,NA,2570125,NFL,16292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chase McLaughlin,K,TB,NA,NA,NA,NA,NA,0.42,NA,0.55,NA,0.49,NA,0.24,NA,2.12,NA,7.7,NA,2563203,NFL,14717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chris Boswell,K,PIT,NA,NA,NA,NA,NA,0.42,NA,0.54,NA,0.48,NA,0.24,NA,2.1,NA,7.62,NA,2550545,NFL,11936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dustin Hopkins,K,CLE,NA,NA,NA,NA,NA,0.4,NA,0.51,NA,0.46,NA,0.23,NA,2.34,NA,7.6,NA,2539227,NFL,11387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Sanders,K,MIA,NA,NA,NA,NA,NA,0.41,NA,0.47,NA,0.47,NA,0.17,NA,2.68,NA,7.58,NA,2561153,NFL,13832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Will Reichard,K,MIN,NA,NA,NA,NA,NA,0.36,NA,0.55,NA,0.43,NA,0.19,NA,2.56,NA,7.53,NA,2572273,NFL,16681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jason Myers,K,SEA,NA,NA,NA,NA,NA,0.42,NA,0.54,NA,0.48,NA,0.18,NA,2.28,NA,7.5,NA,2553112,NFL,12437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ka'imi Fairbairn,K,HOU,NA,NA,NA,NA,NA,0.38,NA,0.49,NA,0.38,NA,0.22,NA,2.64,NA,7.49,NA,2556521,NFL,12860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wil Lutz,K,DEN,NA,NA,NA,NA,NA,0.43,NA,0.5,NA,0.43,NA,0.24,NA,2.21,NA,7.49,NA,2556601,NFL,12956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cairo Santos,K,CHI,NA,NA,NA,NA,NA,0.41,NA,0.47,NA,0.47,NA,0.24,NA,2.19,NA,7.44,NA,2550636,NFL,11945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daniel Carlson,K,LV,NA,NA,NA,NA,NA,0.45,NA,0.5,NA,0.39,NA,0.28,NA,2.01,NA,7.43,NA,2560993,NFL,13718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cam Little,K,JAX,NA,NA,NA,NA,NA,0.39,NA,0.56,NA,0.39,NA,0.17,NA,2.34,NA,7.21,NA,2572147,NFL,16680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nick Folk,K,TEN,NA,NA,NA,NA,NA,0.46,NA,0.53,NA,0.46,NA,0.18,NA,1.92,NA,7.17,NA,2507225,NFL,8851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eddy Pineiro,K,CAR,NA,NA,NA,NA,NA,0.37,NA,0.51,NA,0.37,NA,0.25,NA,2.15,NA,7.15,NA,2560842,NFL,13719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joshua Karty,K,LAR,NA,NA,NA,NA,NA,0.39,NA,0.45,NA,0.45,NA,0.17,NA,2.4,NA,7.12,NA,2572201,NFL,16775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joey Slye,K,NE,NA,NA,NA,NA,NA,0.38,NA,0.44,NA,0.38,NA,0.22,NA,1.85,NA,6.55,NA,2563132,NFL,14600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Gano,K,NYG,NA,NA,NA,NA,NA,0.42,NA,0.47,NA,0.42,NA,0.16,NA,1.72,NA,6.45,NA,71309,NFL,9694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blake Grupe,K,NO,NA,NA,NA,NA,NA,0.33,NA,0.43,NA,0.33,NA,0.19,NA,1.8,NA,6.02,NA,2571234,NFL,16444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
